id,ts_entry,city,market_id,question,date_str,days_ahead,unit,mb_max_model,mb_consensus,mb_n_models,mb_models_json,market_threshold,overshoot,market_type,no_ask_entry,no_bid_entry,yes_bid_entry,token_yes_id,token_no_id,roe_per_day,risk_distance,score,sim_stake,sim_tokens,stop_price,no_price_last,no_price_max,no_price_min,ticks_tracked,last_update,outcome,close_reason,ts_close,no_price_close,sim_pnl,sim_pnl_pct,is_sandbox
211,2026-03-21T01:11:32.278159,Toronto,0x9b6333fc198c624c6c9a5b22ca3cb521430a784bb21b00408180ead74a6abfc4,Will the highest temperature in Toronto be 5°C or higher on March 23?,2026-03-23,2,C,2.67,0.94,12,"{""AIFS"": 0.73, ""GEM15"": 0.69, ""GFS"": -0.86, ""ICON"": 1.71, ""IFS"": 1.36, ""IFS-HR"": 1.78, ""ARPEGE"": 1.13, ""NAM12"": 1.91, ""NBM"": 1.79, ""NEMS"": -0.02, ""NEMS2"": -1.66, ""UKMO"": 2.67}",5.0,2.33,above_equal,0.94,0.78,0.06,37896566244925378843640761630577854260638272553228211341559678366603092164197,80607398568981204676707720365956109680905649453253161175340569063175227222935,3.19,2.33,13.257,5.0,5.3191,0.799,0.76,0.94,0.76,5,2026-03-21T12:29:43.123744,LOSS,STOP,2026-03-21T12:29:43.124944,0.76,-0.9574,-19.15,1
160,2026-03-19T01:23:25.899500,Chicago,0xbfb82674289b2edff32eea01f90d0a0502f0f4b286534950f39dd16c101ab335,Will the highest temperature in Chicago be 78°F or higher on March 21?,2026-03-21,2,F,51.53,42.66,12,"{""AIFS"": 43.03, ""GEM15"": 43.99, ""GFS"": 41.51, ""ICON"": 38.89, ""IFS"": 41.59, ""IFS-HR"": 39.73, ""ARPEGE"": 36.98, ""NAM12"": 41.03, ""NBM"": 42.59, ""NEMS"": 51.53, ""NEMS2"": 46.74, ""UKMO"": 44.37}",78.0,26.47,above_equal,0.989,0.988,0.011,9183101014167977857743647338227811162004686595517652258048168965056637834077,114713261435976780972275905597750911096111634696909212552997929527401968131177,0.56,26.47,163.334,5.0,5.0556,0.8407,0.826,0.997,0.826,18,2026-03-21T04:23:32.618950,LOSS,STOP,2026-03-21T04:23:32.619959,0.826,-0.8241,-16.48,0
127,2026-03-18T01:22:08.805663,Ankara,0x19297bf49aaab505e7e2a5b120ea959135cca962d242f84d9747ed9b8d4ccb6a,Will the highest temperature in Ankara be 12°C or higher on March 20?,2026-03-20,2,C,10.01,8.72,10,"{""AIFS"": 7.07, ""GEM15"": 9.62, ""GFS"": 8.03, ""ICON"": 10.01, ""IFS"": 8.94, ""IFS-HR"": 8.69, ""ARPEGE"": 8.97, ""NEMS"": 7.77, ""NEMS2"": 8.99, ""UKMO"": 9.12}",12.0,1.99,above_equal,0.98,0.92,0.02,82164997467175540426971771458795101900686254112568496211288405066818727005057,27195731253645426469888001207331155716151421189579852286784053373306966332164,1.02,1.99,7.553,5.0,5.102,0.833,0.999,0.999,0.9,25,2026-03-20T21:24:00.367458,WIN,EXPIRED_WIN,2026-03-21T01:09:43.638407,1.0,0.102,2.04,0
128,2026-03-18T01:22:14.794588,Seoul,0x915336ec63fe678b5ef9049660b462054a120e1477b89c8e98512749f94b3463,Will the highest temperature in Seoul be 15°C or higher on March 20?,2026-03-20,2,C,13.08,11.93,10,"{""AIFS"": 12.05, ""GEM15"": 12.12, ""GFS"": 12.38, ""ICON"": 11.67, ""IFS"": 11.79, ""IFS-HR"": 12.3, ""ARPEGE"": 13.08, ""NEMS"": 11.11, ""NEMS2"": 11.21, ""UKMO"": 11.62}",15.0,1.92,above_equal,0.989,0.987,0.011,104843072481087605353416679380733672700239443976292256082233156397604645976693,102052824056515311529292519203565161660675232619159844716130559201430484043611,0.56,1.92,6.16,5.0,5.0556,0.8407,0.999,0.999,0.951,23,2026-03-20T15:36:26.400316,WIN,EXPIRED_WIN,2026-03-21T01:09:43.594594,1.0,0.0556,1.11,0
129,2026-03-18T01:22:18.285840,Buenos Aires,0x98b8d9151bb20b1d4d37371930f174099e42be30e9cd6a5062a1e91e1d1a1877,Will the highest temperature in Buenos Aires be 34°C or higher on March 20?,2026-03-20,2,C,24.13,22.5,10,"{""AIFS"": 20.3, ""GEM15"": 22.15, ""GFS"": 21.2, ""ICON"": 23.85, ""IFS"": 22.15, ""IFS-HR"": 24.13, ""ARPEGE"": 22.73, ""NEMS"": 23.56, ""NEMS2"": 22.04, ""UKMO"": 22.91}",34.0,9.87,above_equal,0.969,0.954,0.031,104771042071914371095058363881033255978864086140967822062224809359408447922796,40632843623385656533096132176058302995657247803561785911439614510689253330588,1.6,9.87,112.55,5.0,5.16,0.8236,0.999,0.999,0.957,25,2026-03-20T21:23:59.329704,WIN,EXPIRED_WIN,2026-03-21T01:09:43.445220,1.0,0.16,3.2,0
130,2026-03-18T01:22:18.803898,Miami,0xc5405fd18f26478aefd02a07365462fea479af8d48e0f852fc0beeef3b560338,Will the highest temperature in Miami be 86°F or higher on March 20?,2026-03-20,2,F,68.56,65.06,12,"{""AIFS"": 63.88, ""GEM15"": 67.03, ""GFS"": 65.63, ""ICON"": 65.39, ""IFS"": 61.11, ""IFS-HR"": 61.83, ""ARPEGE"": 62.56, ""NAM12"": 68.56, ""NBM"": 66.44, ""NEMS"": 64.15, ""NEMS2"": 66.49, ""UKMO"": 67.62}",86.0,17.44,above_equal,0.994,0.985,0.006,45433741628189557097355366181044786266951484866227816412315271706320330464944,86309159422921997690976369494127282393479240860956402575056467603991076272118,0.3,17.44,103.135,5.0,5.0302,0.8449,0.999,0.999,0.986,25,2026-03-20T21:23:58.838287,WIN,EXPIRED_WIN,2026-03-21T01:09:43.407254,1.0,0.0302,0.6,0
132,2026-03-18T01:22:48.813474,Dallas,0x054a9cc4f5a221f15828170f0562be764e907d45d7745d5d9742a34cb9506a01,Will the highest temperature in Dallas be 96°F or higher on March 20?,2026-03-20,2,F,70.64,68.27,12,"{""AIFS"": 70.06, ""GEM15"": 68.23, ""GFS"": 70.64, ""ICON"": 66.8, ""IFS"": 68.3, ""IFS-HR"": 70.32, ""ARPEGE"": 64.02, ""NAM12"": 68.43, ""NBM"": 69.2, ""NEMS"": 68.38, ""NEMS2"": 66.34, ""UKMO"": 68.47}",96.0,25.36,above_equal,0.94,0.931,0.06,45173477791917978139927174176483630897291396816437497013159471773598939027742,37954707280271175418010460382808657620170816700727943442025040926228153692729,3.19,25.36,167.142,5.0,5.3191,0.799,0.998,0.998,0.876,25,2026-03-20T21:23:55.852805,WIN,EXPIRED_WIN,2026-03-21T01:09:43.100770,1.0,0.3191,6.38,0
131,2026-03-18T01:22:28.799538,New York,0x2c1bdd312ab71c28fd76e7767771b7e731f195d40400aca700df18d044cd9d99,Will the highest temperature in New York City be 62°F or higher on March 20?,2026-03-20,2,F,41.56,37.23,12,"{""AIFS"": 38.33, ""GEM15"": 28.67, ""GFS"": 39.81, ""ICON"": 38.39, ""IFS"": 35.18, ""IFS-HR"": 35.55, ""ARPEGE"": 35.31, ""NAM12"": 35.86, ""NBM"": 41.56, ""NEMS"": 40.93, ""NEMS2"": 39.54, ""UKMO"": 37.58}",62.0,20.44,above_equal,0.993,0.99,0.007,65033912604216953332070470356424289384006821013179048819682619548995509302001,74432126396033670408384974630348111571111275910022810874500214874728700755874,0.35,20.44,120.107,5.0,5.0352,0.844,0.998,0.998,0.983,25,2026-03-20T21:23:56.333693,WIN,EXPIRED_WIN,2026-03-21T01:09:43.097316,1.0,0.0352,0.7,0
133,2026-03-18T01:22:52.942851,Chicago,0x71696d630785d911a0068609eff413835b656044d1312a11fd9f0a20afb18fe1,Will the highest temperature in Chicago be 59°F or below on March 20?,2026-03-20,2,F,46.34,40.5,12,"{""AIFS"": 39.89, ""GEM15"": 35.26, ""GFS"": 43.3, ""ICON"": 44.62, ""IFS"": 36.03, ""IFS-HR"": 35.33, ""ARPEGE"": 36.66, ""NAM12"": 37.41, ""NBM"": 40.64, ""NEMS"": 46.31, ""NEMS2"": 44.26, ""UKMO"": 46.34}",59.0,12.66,exact,0.72,0.5,0.28,50457554798641216047425983534831459992919797265957160650606515779001618731892,6192449101278325856106463299858633002242541070304848036314194293396011435160,19.44,12.66,77.518,5.0,6.9444,0.612,0.999,0.999,0.62,24,2026-03-20T18:36:23.377402,LOSS,EXPIRED_LOSS,2026-03-21T01:09:42.926640,0.999,-5.0,-100.0,0
134,2026-03-18T01:23:12.819285,Seattle,0x51e621c389d17677719185ae3ebad11a76a040dee1c44183098b93be8ba8a0ee,Will the highest temperature in Seattle be 62°F or higher on March 20?,2026-03-20,2,F,54.17,52.05,12,"{""AIFS"": 52.21, ""GEM15"": 53.28, ""GFS"": 51.26, ""ICON"": 53.47, ""IFS"": 52.53, ""IFS-HR"": 52.35, ""ARPEGE"": 52.22, ""NAM12"": 49.35, ""NBM"": 54.17, ""NEMS"": 52.3, ""NEMS2"": 50.14, ""UKMO"": 51.31}",62.0,7.83,above_equal,0.98,0.93,0.02,52293703048000174240048561416096428554620175705328148204540873786694977393539,39826225700417797953355623241373360844093225053419389058536729339426230917938,1.02,7.83,37.47,5.0,5.102,0.833,0.995,0.996,0.923,25,2026-03-20T21:23:54.832656,WIN,EXPIRED_WIN,2026-03-21T01:09:42.831305,1.0,0.102,2.04,0
